Question 1: Explain the differences between Conduction and Convection,Score
"Conduction is the transfer of thermal energy from one place to another without any flow of the material medium, while convection is the transfer of thermal energy by means of convection currents in a fluid. Conduction also occurs in solid, liquid and gases while convection only occurs in liquids and gases.",1
"Conduction is the transfer of heat from one body to another through a medium via the kinetic energy of the molecules as they vibrate. In metals, this can take place faster through the kinetic energy provided by the free molecules throughout the solid. However, convection is the process whereby a fluid gains heat, expands and reduces in density. It then rises, displacing the cooler and denser fluid at the top and causing a convection current.",0
Conduction does not require a medium while convection does. Conduction can occur in all states of matter while convection only occurs in fluids.,1
"Conduction is when heat is directly transferred from the computer chip to the heat sink while convection is when heat from the black metal fins of the heat sink is transferred to the surrounding air which gains heat, expands, becomes less dense and rises, displacing the cooler air which sinks to take its place. The cooler air which has sunk will also gain heat from the black metal fins, expand , become less dense and rise, forming a convection current.",1
"Conduction involves the transfer of heat from one place to another without any flow of the material, while convection involves heat transfer due to movements of fluids in a convection current (from hot towards cold and reverse). Moreover, conduction occurs in all states of matter, solids, liquids and gases, while convection occurs only in fluids, which are liquids and gases.",1
"Heat conduction involves heat transfer THROUGH A MEDIUM, from its hotter region to its cooler region. Conduction of heat is most common in solids, where it would become convection if applied to liquids and gases as they're free-moving fluids.

Heat convection instead, when gases/liquids are heated, its heated region's fluid rises as it is hotter and less dense, and its space gets replaces by colder fluid. Convection occurs in liquids and gases only",0
Conduction is heat transfer in solids while convection is heat transfer in liquids and gases.,0
"Conduction involves heat transfer by direct contact however, convection involves the transfer of heat through energy transition and this only occurs in liquids. Apart from that conduction occurs due to temperature difference while convection is by the density of the liquids.",0
"Conduction only occurs between molecule and molecule which heats up other molecules around it and it’s a stationary process and only happens in solids. Convection occurs in gases and liquids when they heat up, which expands the molecules and their density drops causing the cooler and denser molecules to sink and the hotter and less dense molescules rise, causing a convection current",0
"Conduction is heat transfer that is caused by the kinetic energy of a particle being spread on to its neighbouring particle and so on until the kinetic energy is the same. Conduction can occur in all three stages of matter. Convection is a current caused in fluids only and is beause of the expansion of fluid closer to the heat source, which leads to a lower density and this causes it to rise. The more dense fluid at the top then sinks, which causes the process to repeat.",1
"Conduction is the transfer of heat between two stationary mediums which are in contact, but convection is the transfer of heat between between at least one medium which are in motion.",0
"Conduction requires a medium (solids, liquids and gases) for heat to be transferred while convection can take place only in fluids (liquids and gases).",1
Heat is transferred using conduction in solid and convection for liquids and gases. Convection is the movement of heat by motion where conduction is the transfer of heat energy by direct contact.,0
"Conduction occurs through the vibration of particles while convection occurs through the differences in densities of fluids. While conduction is for all substances, convection is for only fluids.",1
Conduction is the transfer of heat from one place to another without any movement from the medium. Conduction can take place in all states of matter. Convection is the transfer of heat through a current formed through the difference in densities. Convection can only occur in liquids and gas.,1
"Conduction occurs when solid objects make direct contact that enables heat transfer, while convection only occurs within fluids (liquid, gas) and is caused by density differences.",0
"The difference for conduction and convection is that conduction in all states of matter, whereas convection occurs in fluids: liquids and gases. Also, conduction is caused by the particle interaction in a solid/liquid/gas or free electron diffusion in metals, but convection happens when there is a difference in density of two fluids.",1
"Conduction is the process by which heat is transferred from one object to the other through a medium. Convection is the cycle in which a substance gains heat, expands, becomes less dense and rises and displaces the substance above it for that substance to gain heat.",0
Conduction is the transfer of heat through the vibration of particles while convection is the movement of air as it gains and loses heat,0
Conduction refers to the movement of heat from a place of higher heat to lower heat through the means of energetic particles colliding while convection refers to a fluid with higher heat rising due to it being of lower density compared to the surrounding fluid and vice versa.,0
"Conduction require no flow of any material matter to transfer heat while convection require the flow of convection current in fluids in order to transfer heat. Conduction occurs in solids, liquids and gases while convection only occurs in liquids and gases.",1
Conduction occurs through direct contact while convection is the movement of heat by motion of matter.,0
Conduction can occur in all states while convection can only occur in fluids. Conduction requires contact between the two objects while convection is based on the densities of two substances which creates a convection current.,1
Conduction is the transfer of thermal energy from one place to another without any flow of the material medium and occurs in all states of matter while convection is the transfer of thermal energy by means of convection currents due to a difference in density and only occurs in fluids.,1
"Conduction is the transference of heat through kinetic energy or electrons, while convection is when a fluid heat up, becomes less dense, so it rises, while the cooler fluid at the top sinks. This causes convection currents which allows the fluid to circulate.",0
Conduction is the transfer of thermal energy from one place to another without any flow of the material medium while convection is the transfer of thermal energy through convection currents in a liquid or gas due to difference in density.,0
"Conduction is the process of heat transfer from a substance of a higher temperature to a substance of a lower temperature because the particles transfer kinetic energy through vibrations, while in the process of convection heat is transferred due to density differences in a fluid which causes hotter gases or liquids to rise, creating convection currents.",1
"Conduction occurs in all states, where heat is transferred from a region of higher temperature to a region of lower temperature. Convection occurs in gases and liquids only, where hot liquids or gases rise while cold liquids or gases sink to occupy the space previously occupied by the hot liquid or gas.",1
"conduction is the transfer of heat without requiring movement of a medium, which can be solid liquid of gas while convection requires movement of a medium which can only be a fluid.",1
"Conduction is the transfer of heat through matter as the particles gain heat and vibrate, and hit other particles, causing them to vibrate and gain heat

Convection is when a hotter fluid rises as it has a lower density, causing the denser cooler fluid to sink, which consequently results in the transfer of heat",1
"Conduction refers to the transfer of thermal energy from one place to another without flow of the medium, while convection is also the transfer of thermal energy from one place to another, however using convection currents and requiring the flow of the fluid/medium. Thus, conduction does not require flow while convection requires flow of the medium. Also, conduction can happen in solids, liquids and gases while convection can only happen in fluids (liquids and gases) as only liquid and gas particles can move freely to form currents.",1
"Conduction is heat transfer between objects of direct contact, while convection need not.

Conduction can take place in all 3 states of matter, but convection only takes place in fluids (gases and liquids).

Heat transfer in conduction takes place through molecular collisions, while in convection, it takes place through density differences.",1
"Conduction is the transfer of thermal energy from one place to another without any flow of the material medium and occurs in all states of matter. When heated, particles gain kinetic energy and vibrate faster, transferring energy to neighbouring particles with no net movement of particles. Two mechanisms of heat transfer by conduction include molecular interaction and free electron diffusion. Molecular interaction refers to the vibration of and collision of atoms and molecules transferring kinetic energy to neighbouring particles and is a slow process. Free electron diffusion refers to the electrons which are lighter and move faster and randomly between bigger particles. It can collide with other electrons and particles to transfer kinetic energy and is a fast process. Metals have many free electrons and thus are generally better conductors of heat.

Convection is the transfer of thermal energy by means of convection currents in a fluid (gas or liquid), due to differences in density. It only occurs in fluids as their particles are able to move freely. A convection current is the movement of hot fluid towards a cold fluid and vice versa. When a fluid is heated, it expands, becomes less dense and rises. Cooler, denser fluid at the top sinks to replace the heated fluid.

To compare the two: Conduction is more of a static process, with no net movement of particles, and represents how thermal energy (heat) travels between objects in direct contact. Convection is more of thermal energy travelling through fluids due to density differences and is generally a faster process than conduction.",1
"Conduction involves heat transfer through direct contact between two items, while convection involves the rise of hot fluids to the top and sinking of cold fluids to the bottom . Conduction can happen between any states of matter, while convection can only happen in fluids. Conduction happens due to the difference in temperature, while convection happens due to the difference in density.",1
"Conduction is the transfer of thermal energy from one place to another without any flow of the material medium which occurs in all states of matter, while convection is the transfer of thermal energy by means of convection currents in a fluid due to difference in density.",1
"Conduction is the transfer of thermal energy without any flow of the medium. Convection is the transfer of thermal energy by means of convection currents in a liquid or gas, which requires movement of the material medium.",0
"Conduction is transfer of heat by the kinetic energy of particles, namely free-moving electrons and vibrating atoms. Hence, it requires a medium to take place.

Convection is heat transfer by the movement of hot and cold fluids, whereby the hotter fluid rises and is replaced by the cooler fluids sinking. Hence, it requires a fluid to take place, not just any medium.",1
Convection can only occur in gas and liquids as they will rise and sink depending on density unlike solids. Conduction can occur in all three states of matter,1
Conduction is the transfer of heat through particles while convection is the transfer of heat through convection currents.,0
"Conduction refers to the transfer of thermal energy from one place to another without any flow of the material medium, and can take place is solids, liquids or gases, or all states of matter. On the other hand, convection refers to the transfer of thermal energy by means of convection currents in a fluid, gases or liquids, due to the difference in density.",1
Conduction is over a medium whereas convection is movement of hotter and cooler fluids moving and replacing one another.,
"Conduction is the transfer of heat via the transfer of kinetic energy of particles at the atomic level. However, convection is the transfer of heat via the movement of particles in a fluid, in which the primary method of heat transfer is the movement of particles with heat energy instead of the transfer of heat energy in the form of kinetic energy.",0
"Conduction happens when particles, which have heat energy, which is kinetic energy, come into contact and collide with one another and transfer their kinetic energy from one particle to another, thereby transferring heat energy. It can happen in any substance.

Convection can only happen in fluids and is cyclical. It happens when a fluid is heated at the bottom and the fluid at the bottom gains heat via conduction, expanding and becoming less dense than the fluid at the top, thus rising to the top, allowing it to transfer heat away from the fluid. Simultaneously, the fluid at the top, which is cooler than the fluid at the bottom, is denser and sinks to the bottom, repeating the cycle and transferring heat away from the fluid and heat source.",1
"Conduction is a form of heat transfer where heat energy is transferred by moving molecules or free moving electrons. Conduction can occur in solids, liquids and gases and requires a medium

Convection is also a form of heat transfer, but because of density differences in the fluid, the hotter part is less dense so it rises and the cooler part is denser so it sinks, resulting in a convection current. Convection can only occur in liquids or gases.",1
"Conduction occurs in all states of matter, while convection only occurs in fluids (gases and liquids). A difference in density in a fluid is required for convection to take place, but conduction does not require a difference in density.",1
"Conduction occurs due to interaction of particles, this making it the prevalent form of heat transfer in solids. Convection occurs due to differences in densities, this making it the prevalent form of heat transfer in fluids.",0
"In conduction, heat is transferred away from the computer chip when the heat sink comes into contact with the chip and conducts heat away from it. In convection, the air above the heat sink gains heat and rises, and cooler surrounding air moves downward to occupy the space the heated air formerly occupied, creating a convection current as the process repeats. This current allows the heat sink to continuously lose heat to the surrounding air.",0
"Conduction can occur through any state of matter, but convection only occurs through liquids or gaseous state.",1
"Conduction happens here where the heat from the computer chip is transferred to the cooler metal heat sink, after which the heat will be lost to the cooler surrounding air. Convection will help to speed up the process whereby the metal sink loses heat to the cooler surrounding air as the warmer surrounding air that gained heat from the heat sink rises and cooler surrounding air sinks due to convection currents. Conduction of heat can take place in any medium, in solids, liquids and gases, unlike convection, which can only take place in liquids and gases only.",1
"Conduction is the transfer of thermal energy from one place to another without flow of the material medium, therefore it can occur in all states of matter, while convection is the transfer of thermal energy through convection currents in a fluid due to density differences, therefore it can only occur in liquids and gases due to their particles' ability to move freely.",1
"Conduction isthe process by which heat is directly transmitted from a hotter substance to a cooler substancewhereas convection involves convection currents as the liquids or gases are hotter and expands, causing it to haveand lower density while the cooler liquid or gas has a higher density, hence the hot liquid or gas rises and the cold liquid or gas sinks, causing convection currents to occur. Hence, it is the heat transfer due to the movement of molecules and can only occur in liquids or gases unlike convection that can occur at any state of matter,",1
Conduction does not involve the flow of the material medium but convection does.,0
conduction is heat transfer by direct surface contact. convection is heat transfer by the varying densities of gases and liquids.,0
"Conduction is heat transferred through a medium that does not move, and can take place between solids, liquids or gasses, while convection requires a liquid or gas medium as the medium moves during convection.",1
"Conduction transfers heat through direct molecular collision, while convection transfers heat in liquid when the fluid above the hot surface expands, become less dense and rises.",0
"Conduction is when heat is transferred through the molecules of a solid, liquid or gas, with some molecules first gaining heat energy and spreading it through the rest of the medium, whereas convection occurs only in liquids and gases, where some of the molecules are heated up, gaining heat energy, hence they expand and are now of a lower density than the rest of the medium. Therefore, the molecules of lower densities then rise to the top of the medium, while the cooler molecules then sink to the bottom due to their greater density, causing convection currents.",1
"Conduction can apply to solids, liquids and gases. It is the transfer of heat through physical contact from one medium to another.



Convection, however, only applies to liquids and gases. Convection currents are formed when a gas or liquid gains heat, expands, becomes less dense and rises, leaving spaces for cooler a cooler gas or liquid with a higher density to fill in.",1
"Conduction occurs in solids, liquids and gases as the collisions between atoms occur in all states of matter

Convection occurs only in liquids and gases, as only they can rise and sink when their densities change after heating or cooling to form a convection current.",1
"Conduction is the transfer of heat from a hotter surface to a cooler surface through contact with the other surface. Convection is the transfer of heat via a convection current when a hotter and less dense fluid/gas rises and a cooler and denser fluid/gas sinks. For conduction, contact between surfaces is required for heat transfer, however for convection, direct contact between the spaces is not needed for the transfer of heat as a convection current between the surfaces transfers the heat.",0
"Conduction is the transfer of heat through the vibration of particles in direct contact, while convection is the transfer of heat through the actual movement of particles due to changes in density associated with thermal expansion and contraction.",1
Conduction can occur in all states of matter while convection can only occur in fluids in gaseous or liquid state.,1
"Conduction is the transfer of thermal energy or heat from one place to another without any flow of the material medium which can be solid, liquid or gas, while convection on the other hand is the transfer of heat energy by means of convection currents in a liquid or gas only due to differences in density. Convection only happens in liquid or gases because it happens due to differences in density and require free moving particles in order to create a convection current in which there is movement of hot fluid to cold fluid and reverse of cold to hot. However this is unlike conduction which does not involve flow or movement of the matter medium.",1
Conduction is a transfer of heat energy by direct contact without any flow of material medium but convection is a transfer of thermal energy by means of convection currents in a fluid due to difference in density,0
"Conduction can occur in gases, liquids and solids while convection can only occur in liquids and gases. Conduction requires direct contact between the objects for heat transfer while convection is based on the movements of liquids and gases.",1
Conduction requires contact between two surfaces while convection does not need to have the two areas come into contact with each other but have a medium in between them like air or water.,0
"Conduction is applicable to solids, while convection is applicable to fluids.

Conduction involves the vibration of particles to transfer energy across a medium, in which solids, since the particles are closest to one another, are the best conductors (see the root word of this verb) of heat.

Convection, however, is gradual increase in temperature of a fluid due to temperature, and as a result density differences.

",0
Counduction can happen in any medium wheras convection can only happen in liquid or gas mediums.,1
"Conduction is the process where heat is transferred due to a difference in temperature between objects, through the particles from an object transferring kinetic energy to particles of the other object, until the temperature is the same and there is no net transfer of heat between both objects.

On the other hand, convection refers to the form of heat transfer caused due to a difference in density between 2 different liquids, gases or plasmas, causing the heated liquid/gas/plasma to rise as it becomes less dense, while the cooler, denser medium above it replaces it. This cycle repeats, forming a convection current.",1
"Conduction is heat transfer from one stationary substance to another, while convection is heat transferred through a movement in fluids.",0
Conduction is the transfer of heat through a solid substance while convection is the transfer of heat through fluids which are liquids and gases.,0
"Conduction is when the thermal energy flow from one point of an object to another point from the hotter region to the cooler region. Convection is when a hot liquid or vapour rises up and the cooler liquid or vapour sinks downwards. Hence, conduction involves the heat energy moving while convection involves the medium moving.",0
Conduction is the water gaining heat from the chip while convection is the movement of the heated up part of the water away from the heat source and allowing the cooler water to sink.,0
Conduction is heat transferred from a solid with direct contact whereas convection is heat transferred from a liquid or gas.,0
"Conduction is the transfer of thermal energy from one place to another without any flow of the material medium. Conduction occurs in all states of matter.

Convection is the transfer of thermal energy by means of convection currents in a fluid, due to difference in density. Convection only occurs in liquids and gases.",2
"Conduction us the transfer of thermal energy without any flow of the material in all states of matter, while convection can only occur in fluids through a convection current.",1
"Conduction is the transfer of heat between matter with direct contact, while convection is the movement of heat within air or liquids only.",0
"Conduction is the transfer of thermal energy from one place to another without any flow of the material medium. Conduction occurs in soild,liquid and gases, or all states of matter. Particle Interaction and free electron diffusion are two mechanisms of heat transfer by conduction. Meanwhile, convection is the transfer of thermal energy by means of convection currents in a fluid gas or liquid, due to difference in density. Therefore, it only occurs in liquids and gases because their particles are able to move freely. Convection current is the movement of hot fluid towards cold fluid and the reverse of movement from cold fluid towards the hot fluid.",2
"Conduction requires the particles of the heated item to gain heat from the heat source and vibrate more vigourously. When the vibrations become more vigourous, the particles bump into each other more often and end up transfering kinetic energy which converts to heat energy, causing the other particles to have more heat than before.

However, in convection, particles in the immediate surroundings of he heat source gain heat, become less dense, and rise. This displaces particles above to sink down as they are more dense than the heated particles. The particles that sink then gain heat from the heat source, become less dense, and rise. This causes a convection current.",1
"conduction is the heat transfer of thermal energy from one place to another without any flow of the material medium, while convection is the transfer of thermal energy by means of convection current in a fluid.",0
Conduction is the transfer of heat from 2 objects that are in contact with each other while convection is the transfer of heat in a fluid.,0
"Conduction is the transfer of thermal energy through all states of matter.

Convection is the transfer of thermal energy through convection currents in fluids due to difference in density",1
Conduction occurs in all states of matter while convection only occurs in liquids and gases.,1
"Conduction is the transfer of thermal energy from one place to another and does not involve any flow of the material medium, so it occurs in all three states of matter, while convection is the transfer of thermal energy caused by movement in the medium due to the difference in density, thus it only occurs in liquids and gases.",2
Conduction is when the heat is transferred from a warmer surface area to a cooler surface area through contact while convection is when the heat is transferred from a warmer area to a cooler area in a fluid.,
Conduction isthe transfer of heat energy by direct contact while convection is the movement of heat by actual motion of matter through fluids.,0
"Conduction is the transfer of thermal energy from one place to another without any flow of the material medium, whereas convection is the transfer of thermal energy by means of convection currents that are formed due to differences in density. Conduction can take place in solids, liquids, and gasses, while convection can only take place in liquids and gasses.",2
"Conduction is the transfer of thermal energy from one place to another without any flow of the material medium and it happens in solid, liquid and gases while convection is the transfer of thermal energy by means of convection currents in a fluid.",1
Conduction is the transfer of heat through the vibration of particles while convection is the transference of heat through the movement of fluids.,0
"Conduction can include solids, liquids and gases while convection only includes gases and liquids. Conduction occurs due to difference in temperature while convection happens due to different in density.",1
Conduction is the transfer of heat through direct contact and can be used for solids while convection is the motion of heat due to the denser and less dense fluid. Convection can only be used for fluids.,0
"Conduction is a process in which transfer of heat takes place between objects by direct contact while convection refers to the form of heat transfer in which energy transition occurs within the fluid.

Conduction represents how heat travels between objects in direct contact while convection represents how heat passes through fluids.

The cause of conduction is due to temperature difference while the cause of convection is due to density difference.

Conduction occurs in solids through molecular collisions while convection occurs in fluids by actual floe of matter.

The transfer of heat in conduction uses heated solid substances while the transfer of heat in convection uses intermediate substances.",0
Conduction is the transfer of thermal energy from one place to another without any flow of the material medium while convection is the transfer of thermal energy bu means of convection currents in a fluid due to difference in density.,1
"Conduction is the transfer of thermal energy from one place to another without any flow of the material medium, whereas convection is the transfer of thermal energyby means of convection currents in a fluid due to differences in density.",1
"Conduction occurs in all states of matter while convection occurs in only gases and liquids.

Conduction occurs without the flow of any material while convection occurs with the flow of gases and liquids,",1
"Conduction is the the process by which heat is directly transmitted through the material of a substance when there is a difference of temperature between adjoining regions, without movement of the material. Whereas, convection is the movement caused within a fluid by the tendency of hotter and therefore less dense material to rise, and colder, denser material to sink under the influence of gravity, which consequently results in transfer of heat.",0
Conduction does not involve any flow of the material medium but convection has a flow of convection currents in a fluid due to difference in density.,1
"Convection can only occur in liquids and gases while conduction can occur in solids only. Conduction is heat being directly applied and transferred to a surface of an object, which heats up the rest of the object. Through this process, the object doesn’t not move and the matter in it remains stationary. However in convection, the liquid or gas that is being heated up will move upwards, and will let cooler matter fill the space up. There is active movement of the substance in this way of transfer of heat.",0
Conduction is the transfer of heat while convection is the movement of heat.,0
"Conduction is the transfer of thermal energy through a medium or from one medium to another, while convection is the transfer of thermal energy by means of convection currents in a fluid due to difference in density.",1
Conduction is the transfer of thermal energy from one place to another without any flow of material medium while convection is the movement of hot fluid towards cold fluid and the reverse of movement of cold fluid towards the hot fluid.,0
"conduction is transfer of heat without needing a medium for which thermal energy to pass through, while convection is a current of heat which occurs only in fluids.",0
BLANK,0
Conduction is in solids while convection is in liquids and gases.,
Conduction is the transfer of heat through collision with neighbouring particles; Whereas Convection is the transfer of heat through the bulk movement of particles in fluids such as air and water.,0
"Conduction is when heat is transferred from direct contact, while convection is when heat is transferred from ""motion of matter"".",0
"Conduction is the transfer of heat in a material due to molecular motion, such that energy transfers through matter from particle to particle, while convection is the transfer of heat between a solid surface and the adjacent fluid that is in motion by the actual movement of the warmed water.",0
"While conduction is the transfer of heat energy by direct contact, convection is the movement of heat by actual motion of matter. Conduction represents how heat travels between objects in direct contact while convection represents how heat passes through fluids. Moreover, conduction is caused due to temperature difference while convection is caused due to density difference. Lastly, conduction occurs in solids, through molecular collisions while convection occurs in fluids, by actual flow of matter.",0
"Conduction refers to the transfer of thermal energy from one region to another without any flow of the material medium, while convection is the transfer of thermal energy through convection currents in a fluid only.",0
"Conduction is where heat is transferred through free moving electrons or ions on direct contact, whereas convection is the transfer of heat energy from a warmer to a colder fluid in a convection circuit.",0
Conduction is the transfer of heat via direct contact whereas convection is the transfer of heat via actual motion of matter.,0
"Conduction can occur in all states of matter, as it does not require any flow of the medium while convection can only occur in fluids such as liquids and gasses as the particles of fluids are able to move freely.",1
"Conduction is the transfer of thermal energy from one place to another without any flow of the material medium, and can occur in any medium, whereas convection is the transfer of thermal energy by means of convection currents over a density gradient. Hence, convection is only able to occur in liquids and gases due to their presence of free moving particles.",2
"Conduction transfers thermal energy through particle interaction or free electron diffusion, while convection transfers thermal energy through convection currents in a fluid.",0
Conduction is the transfer of thermal energy from one place to another without any flow of the material medium while convection is the transfer of thermal energy through convection currents in a fluid.,0
"Conduction can occur in solids, liquids and gases whereas convection cannot occur in solids and can only occur in fluids (gas and liquids).",1
Conduction is the transfer of of thermal energy from one place to another without any flow of the material while convection is the transfer of thermal energy in fluids through convection currents.,0
Conduction is the transfer of heat from a region of higher temperature to one of lower temperature without the movement of the substance while convection is the transfer of heat through convection currents due to density differences.,1
"Conduction takes place in all states of matter that have particles that convert heat energy to kinetic energy and move vigorously to transfer heat energy from particle to particle, while convection involves only liquids and gases that expands, becomes less dense and rises to the TOP, allowing cooler air at the top that has higher density to sink down to replace the risen air.",2
"Conduction is the transfer of heat via direct contact with another medium, while convection relies on the differences in densities in fluids, with hotter fluids displacing cooler fluids.",0
"Conduction is the transfer of thermal energy through atoms or electrons colliding with each other and transferring speed and thus thermal energy, while convection involves a heated fluid being less dense than a cooler fluid, causing it to rise and the cooler fluid to sink, allowing for the cooler fluid to be heated up by the heat source. Conduction can happen in all substances, while convection only in fluids.",2
Conduction is the transfer of heat through matter of any states while convection is the transfer of heat through liquids or gas. Conduction also occurs when particles transfer kinetic energy that is converted to thermal energy through direct contact while convection occurs when gas or liquids of different densities create a current that cause the gas or liquid to move.,1
"Conduction occurs in solids, liquid and gases while convection only occurs in fluids( liquid and gases). Conduction does not require any flow of the material medium, while convection requires the flow of material medium.",1
"Conduction does not require the flow of material, where heat is conducted from one area to another. Convection involves a fluid or gas gaining heat, expanding, becoming less dense and rising, causing cooler denser fluids or gases to come down, forming a convection current and thus involving the flow of materials. Convection only works on liquids or gases, but conduction works on all 3 states of matter.",2
"There is no net movement of particles when conduction happens while in convection there is a movement of particles. Also, conduction can happen in solids, liquids and gases but convection can only happen in fluids ( gases and liquids).",1
"Convection requires the movement of fluids caused by the lowering of density of fluids near heat source due to heat gain and thus increase in volume leading to lower density. Then, the cooler fluids at the top drift downwards towards the heat source. However, conduction does not require the movement of fluids and only heat transfer via a medium is required.",0
"Conduction is the transfer of thermal energy from one place to another without any flow of the material medium, while convection is the transfer of thermal energy through convection currents. Conduction occurs in solids, liquids and gases, while convection only occurs in liquids and gases.",1
"Conduction is the transfer of thermal energy from one place to another without any flow of the material medium.Convection is the transfer of energy by means of a convection currents in a fluid due to different density.

Conduction occurs in all states of matter while convection occurs only in liquids and gases.",1
"Conduction has no net movement of particles when energy is transferred to neighbouring particles while convection has particles moving throughout the convection current.

Conduction can occur in all three states of matter; solid, liquid, and gas while convection can only occur in liquids and gases.

",1
"Conduction can occur in solids, liquids, based and all states of matter which are made of particles but convection can only occur in liquids and gases not solids.

Conduction transfers heat from a region of higher thermal energy to a region of lower thermal energy but convectional current moves from a region of higher thermal energy to a region of the lower thermal energy, and back from a region of a lower thermal energy to a region of higher thermal energy in one cycle.",1
"Conduction occurs in solid, liquid and gases, or all states of matter, while convection only occurs in fluids.

Conduction does not require any flow of the material while convection occurs due to density of the fluid.",1
"Convection does not occur in solids (only in liquids and gases) while conduction occurs in all 3 states.

Conduction does not involve flow of material medium while convection requires the flow of convection currents in the medium.",1
Conduction occurs in all states of matter while convection only occurs in liquids and gases. Conduction does not involve the flow of any material medium while convection does.,1
"Conduction is the transfer of thermal energy from my one place to another without any flow of material. However, convection is the transfer of thermal energy by means of convection currents, which require some flow of material.",0
Conduction takes place even without the flow of the material medium and occurs in all states of matter. Whereas convection takes place by means of convection currents and can only take place in liquids and gases,1
